event,map,match_id,team,opponent,agent
americas_stage_1,SPLIT,americas_stage_1_split_kr_esports_nrg,NRG,KRÜ Esports,fade
americas_stage_1,SPLIT,americas_stage_1_split_kr_esports_nrg,NRG,KRÜ Esports,vyse
americas_stage_1,SPLIT,americas_stage_1_split_100_thieves_sentinels,Sentinels,100 Thieves,neon
americas_stage_1,SPLIT,americas_stage_1_split_100_thieves_sentinels,Sentinels,100 Thieves,viper
americas_stage_1,SPLIT,americas_stage_1_split_100_thieves_sentinels,Sentinels,100 Thieves,omen
americas_stage_1,SPLIT,americas_stage_1_split_100_thieves_sentinels,Sentinels,100 Thieves,skye
americas_stage_1,SPLIT,americas_stage_1_split_100_thieves_sentinels,Sentinels,100 Thieves,sage
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_mibr,MIBR,G2 Esports,neon
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_mibr,MIBR,G2 Esports,fade
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_mibr,MIBR,G2 Esports,vyse
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_mibr,MIBR,G2 Esports,astra
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_mibr,MIBR,G2 Esports,raze
americas_stage_1,SPLIT,americas_stage_1_split_loud_mibr,MIBR,LOUD,neon
americas_stage_1,SPLIT,americas_stage_1_split_loud_mibr,MIBR,LOUD,fade
americas_stage_1,SPLIT,americas_stage_1_split_loud_mibr,MIBR,LOUD,vyse
americas_stage_1,SPLIT,americas_stage_1_split_loud_mibr,MIBR,LOUD,astra
americas_stage_1,SPLIT,americas_stage_1_split_loud_mibr,MIBR,LOUD,raze
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_envy,ENVY,Cloud9,neon
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_envy,ENVY,Cloud9,sova
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_envy,ENVY,Cloud9,astra
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_envy,ENVY,Cloud9,phoenix
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_envy,ENVY,Cloud9,chamber
americas_stage_1,HAVEN,americas_stage_1_haven_g2_esports_loud,G2 Esports,LOUD,neon
americas_stage_1,HAVEN,americas_stage_1_haven_g2_esports_loud,G2 Esports,LOUD,fade
americas_stage_1,HAVEN,americas_stage_1_haven_g2_esports_loud,G2 Esports,LOUD,astra
americas_stage_1,HAVEN,americas_stage_1_haven_g2_esports_loud,G2 Esports,LOUD,phoenix
americas_stage_1,HAVEN,americas_stage_1_haven_g2_esports_loud,G2 Esports,LOUD,chamber
americas_stage_1,HAVEN,americas_stage_1_haven_loud_mibr,LOUD,MIBR,neon
americas_stage_1,HAVEN,americas_stage_1_haven_loud_mibr,LOUD,MIBR,viper
americas_stage_1,HAVEN,americas_stage_1_haven_loud_mibr,LOUD,MIBR,omen
americas_stage_1,HAVEN,americas_stage_1_haven_loud_mibr,LOUD,MIBR,sova
americas_stage_1,HAVEN,americas_stage_1_haven_loud_mibr,LOUD,MIBR,vyse
americas_stage_1,HAVEN,americas_stage_1_haven_g2_esports_loud,LOUD,G2 Esports,neon
americas_stage_1,HAVEN,americas_stage_1_haven_g2_esports_loud,LOUD,G2 Esports,viper
americas_stage_1,HAVEN,americas_stage_1_haven_g2_esports_loud,LOUD,G2 Esports,omen
americas_stage_1,HAVEN,americas_stage_1_haven_g2_esports_loud,LOUD,G2 Esports,sova
americas_stage_1,HAVEN,americas_stage_1_haven_g2_esports_loud,LOUD,G2 Esports,vyse
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_leviat_n,LEVIATÁN,Cloud9,neon
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_leviat_n,LEVIATÁN,Cloud9,sova
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_leviat_n,LEVIATÁN,Cloud9,astra
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_leviat_n,LEVIATÁN,Cloud9,phoenix
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_leviat_n,LEVIATÁN,Cloud9,chamber
americas_stage_1,HAVEN,americas_stage_1_haven_evil_geniuses_furia,FURIA,Evil Geniuses,neon
americas_stage_1,HAVEN,americas_stage_1_haven_evil_geniuses_furia,FURIA,Evil Geniuses,viper
americas_stage_1,HAVEN,americas_stage_1_haven_evil_geniuses_furia,FURIA,Evil Geniuses,omen
americas_stage_1,HAVEN,americas_stage_1_haven_evil_geniuses_furia,FURIA,Evil Geniuses,sova
americas_stage_1,HAVEN,americas_stage_1_haven_evil_geniuses_furia,FURIA,Evil Geniuses,killjoy
americas_stage_1,HAVEN,americas_stage_1_haven_furia_kr_esports,FURIA,KRÜ Esports,neon
americas_stage_1,HAVEN,americas_stage_1_haven_furia_kr_esports,FURIA,KRÜ Esports,omen
americas_stage_1,HAVEN,americas_stage_1_haven_furia_kr_esports,FURIA,KRÜ Esports,sova
americas_stage_1,HAVEN,americas_stage_1_haven_furia_kr_esports,FURIA,KRÜ Esports,phoenix
americas_stage_1,HAVEN,americas_stage_1_haven_furia_kr_esports,FURIA,KRÜ Esports,cypher
americas_stage_1,HAVEN,americas_stage_1_haven_furia_kr_esports,KRÜ Esports,FURIA,neon
americas_stage_1,HAVEN,americas_stage_1_haven_furia_kr_esports,KRÜ Esports,FURIA,omen
americas_stage_1,HAVEN,americas_stage_1_haven_furia_kr_esports,KRÜ Esports,FURIA,fade
americas_stage_1,HAVEN,americas_stage_1_haven_furia_kr_esports,KRÜ Esports,FURIA,phoenix
americas_stage_1,HAVEN,americas_stage_1_haven_furia_kr_esports,KRÜ Esports,FURIA,cypher
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_evil_geniuses,100 Thieves,Evil Geniuses,neon
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_evil_geniuses,100 Thieves,Evil Geniuses,omen
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_evil_geniuses,100 Thieves,Evil Geniuses,sova
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_evil_geniuses,100 Thieves,Evil Geniuses,phoenix
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_evil_geniuses,100 Thieves,Evil Geniuses,cypher
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_sentinels,100 Thieves,Sentinels,neon
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_sentinels,100 Thieves,Sentinels,omen
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_sentinels,100 Thieves,Sentinels,sova
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_sentinels,100 Thieves,Sentinels,phoenix
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_sentinels,100 Thieves,Sentinels,cypher
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_evil_geniuses,Evil Geniuses,100 Thieves,neon
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_evil_geniuses,Evil Geniuses,100 Thieves,viper
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_evil_geniuses,Evil Geniuses,100 Thieves,omen
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_evil_geniuses,Evil Geniuses,100 Thieves,sova
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_evil_geniuses,Evil Geniuses,100 Thieves,killjoy
americas_stage_1,HAVEN,americas_stage_1_haven_evil_geniuses_furia,Evil Geniuses,FURIA,neon
americas_stage_1,HAVEN,americas_stage_1_haven_evil_geniuses_furia,Evil Geniuses,FURIA,viper
americas_stage_1,HAVEN,americas_stage_1_haven_evil_geniuses_furia,Evil Geniuses,FURIA,omen
americas_stage_1,HAVEN,americas_stage_1_haven_evil_geniuses_furia,Evil Geniuses,FURIA,sova
americas_stage_1,HAVEN,americas_stage_1_haven_evil_geniuses_furia,Evil Geniuses,FURIA,killjoy
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_leviat_n,Cloud9,LEVIATÁN,neon
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_leviat_n,Cloud9,LEVIATÁN,viper
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_leviat_n,Cloud9,LEVIATÁN,omen
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_leviat_n,Cloud9,LEVIATÁN,sova
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_leviat_n,Cloud9,LEVIATÁN,killjoy
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_envy,Cloud9,ENVY,neon
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_envy,Cloud9,ENVY,viper
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_envy,Cloud9,ENVY,omen
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_envy,Cloud9,ENVY,sova
americas_stage_1,HAVEN,americas_stage_1_haven_cloud9_envy,Cloud9,ENVY,killjoy
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_sentinels,Sentinels,100 Thieves,neon
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_sentinels,Sentinels,100 Thieves,viper
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_sentinels,Sentinels,100 Thieves,omen
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_sentinels,Sentinels,100 Thieves,sova
americas_stage_1,HAVEN,americas_stage_1_haven_100_thieves_sentinels,Sentinels,100 Thieves,killjoy
americas_stage_1,HAVEN,americas_stage_1_haven_loud_mibr,MIBR,LOUD,omen
americas_stage_1,HAVEN,americas_stage_1_haven_loud_mibr,MIBR,LOUD,fade
americas_stage_1,HAVEN,americas_stage_1_haven_loud_mibr,MIBR,LOUD,vyse
americas_stage_1,HAVEN,americas_stage_1_haven_loud_mibr,MIBR,LOUD,phoenix
americas_stage_1,HAVEN,americas_stage_1_haven_loud_mibr,MIBR,LOUD,jett
americas_stage_1,PEARL,americas_stage_1_pearl_envy_loud,ENVY,LOUD,sova
americas_stage_1,PEARL,americas_stage_1_pearl_envy_loud,ENVY,LOUD,astra
americas_stage_1,PEARL,americas_stage_1_pearl_envy_loud,ENVY,LOUD,tejo
americas_stage_1,PEARL,americas_stage_1_pearl_envy_loud,ENVY,LOUD,veto
americas_stage_1,PEARL,americas_stage_1_pearl_envy_loud,ENVY,LOUD,waylay
americas_stage_1,PEARL,americas_stage_1_pearl_cloud9_envy,ENVY,Cloud9,neon
americas_stage_1,PEARL,americas_stage_1_pearl_cloud9_envy,ENVY,Cloud9,sova
americas_stage_1,PEARL,americas_stage_1_pearl_cloud9_envy,ENVY,Cloud9,astra
americas_stage_1,PEARL,americas_stage_1_pearl_cloud9_envy,ENVY,Cloud9,phoenix
americas_stage_1,PEARL,americas_stage_1_pearl_cloud9_envy,ENVY,Cloud9,chamber
americas_stage_1,PEARL,americas_stage_1_pearl_g2_esports_loud,G2 Esports,LOUD,neon
americas_stage_1,PEARL,americas_stage_1_pearl_g2_esports_loud,G2 Esports,LOUD,sova
americas_stage_1,PEARL,americas_stage_1_pearl_g2_esports_loud,G2 Esports,LOUD,vyse
americas_stage_1,PEARL,americas_stage_1_pearl_g2_esports_loud,G2 Esports,LOUD,astra
americas_stage_1,PEARL,americas_stage_1_pearl_g2_esports_loud,G2 Esports,LOUD,harbor
americas_stage_1,PEARL,americas_stage_1_pearl_envy_loud,LOUD,ENVY,neon
americas_stage_1,PEARL,americas_stage_1_pearl_envy_loud,LOUD,ENVY,sova
americas_stage_1,PEARL,americas_stage_1_pearl_envy_loud,LOUD,ENVY,astra
americas_stage_1,PEARL,americas_stage_1_pearl_envy_loud,LOUD,ENVY,chamber
americas_stage_1,PEARL,americas_stage_1_pearl_envy_loud,LOUD,ENVY,kayo
