event,map,maps_played,atk_win_rate,def_win_rate,agent,pick_rate
americas_stage_1,Breeze,4,0.56,0.44,tejo,0.0
americas_stage_1,Breeze,4,0.56,0.44,brimstone,0.0
americas_stage_1,Breeze,4,0.56,0.44,cypher,0.0
americas_stage_1,Breeze,4,0.56,0.44,kayo,0.38
americas_stage_1,Breeze,4,0.56,0.44,veto,0.0
americas_stage_1,Breeze,4,0.56,0.44,jett,0.25
americas_stage_1,Breeze,4,0.56,0.44,waylay,0.0
americas_stage_1,Breeze,4,0.56,0.44,breach,0.0
americas_stage_1,Breeze,4,0.56,0.44,iso,0.25
americas_stage_1,Breeze,4,0.56,0.44,sage,0.0
americas_stage_1,Breeze,4,0.56,0.44,deadlock,0.0
americas_stage_1,Breeze,4,0.56,0.44,miks,0.0
americas_stage_1,Breeze,4,0.56,0.44,reyna,0.0
americas_stage_1,Breeze,4,0.56,0.44,gekko,0.0
americas_stage_1,Breeze,4,0.56,0.44,clove,0.0
americas_stage_1,Breeze,4,0.56,0.44,yoru,0.0
americas_stage_1,Bind,2,0.59,0.41,neon,0.75
americas_stage_1,Bind,2,0.59,0.41,viper,1.0
americas_stage_1,Bind,2,0.59,0.41,omen,0.0
americas_stage_1,Bind,2,0.59,0.41,sova,0.0
americas_stage_1,Bind,2,0.59,0.41,fade,0.25
americas_stage_1,Bind,2,0.59,0.41,vyse,0.25
americas_stage_1,Bind,2,0.59,0.41,astra,0.0
americas_stage_1,Bind,2,0.59,0.41,phoenix,0.5
americas_stage_1,Bind,2,0.59,0.41,chamber,0.25
americas_stage_1,Bind,2,0.59,0.41,killjoy,0.0
americas_stage_1,Bind,2,0.59,0.41,skye,0.75
americas_stage_1,Bind,2,0.59,0.41,raze,0.25
americas_stage_1,Bind,2,0.59,0.41,harbor,0.0
americas_stage_1,Bind,2,0.59,0.41,tejo,0.0
americas_stage_1,Bind,2,0.59,0.41,brimstone,1.0
americas_stage_1,Bind,2,0.59,0.41,cypher,0.0
americas_stage_1,Bind,2,0.59,0.41,kayo,0.0
americas_stage_1,Bind,2,0.59,0.41,veto,0.0
americas_stage_1,Bind,2,0.59,0.41,jett,0.0
americas_stage_1,Bind,2,0.59,0.41,waylay,0.0
americas_stage_1,Bind,2,0.59,0.41,breach,0.0
americas_stage_1,Bind,2,0.59,0.41,iso,0.0
americas_stage_1,Bind,2,0.59,0.41,sage,0.0
americas_stage_1,Bind,2,0.59,0.41,deadlock,0.0
americas_stage_1,Bind,2,0.59,0.41,miks,0.0
americas_stage_1,Bind,2,0.59,0.41,reyna,0.0
americas_stage_1,Bind,2,0.59,0.41,gekko,0.0
americas_stage_1,Bind,2,0.59,0.41,clove,0.0
americas_stage_1,Bind,2,0.59,0.41,yoru,0.0
americas_stage_1,Fracture,1,0.59,0.41,neon,1.0
americas_stage_1,Fracture,1,0.59,0.41,viper,0.0
americas_stage_1,Fracture,1,0.59,0.41,omen,0.0
americas_stage_1,Fracture,1,0.59,0.41,sova,0.0
americas_stage_1,Fracture,1,0.59,0.41,fade,0.0
americas_stage_1,Fracture,1,0.59,0.41,vyse,0.0
americas_stage_1,Fracture,1,0.59,0.41,astra,0.0
americas_stage_1,Fracture,1,0.59,0.41,phoenix,0.0
americas_stage_1,Fracture,1,0.59,0.41,chamber,0.0
americas_stage_1,Fracture,1,0.59,0.41,killjoy,0.0
americas_stage_1,Fracture,1,0.59,0.41,skye,0.5
americas_stage_1,Fracture,1,0.59,0.41,raze,0.0
americas_stage_1,Fracture,1,0.59,0.41,harbor,0.0
americas_stage_1,Fracture,1,0.59,0.41,tejo,0.5
americas_stage_1,Fracture,1,0.59,0.41,brimstone,1.0
americas_stage_1,Fracture,1,0.59,0.41,cypher,0.0
americas_stage_1,Fracture,1,0.59,0.41,kayo,0.0
americas_stage_1,Fracture,1,0.59,0.41,veto,0.5
americas_stage_1,Fracture,1,0.59,0.41,jett,0.0
americas_stage_1,Fracture,1,0.59,0.41,waylay,0.5
americas_stage_1,Fracture,1,0.59,0.41,breach,1.0
americas_stage_1,Fracture,1,0.59,0.41,iso,0.0
americas_stage_1,Fracture,1,0.59,0.41,sage,0.0
americas_stage_1,Fracture,1,0.59,0.41,deadlock,0.0
americas_stage_1,Fracture,1,0.59,0.41,miks,0.0
americas_stage_1,Fracture,1,0.59,0.41,reyna,0.0
americas_stage_1,Fracture,1,0.59,0.41,gekko,0.0
americas_stage_1,Fracture,1,0.59,0.41,clove,0.0
americas_stage_1,Fracture,1,0.59,0.41,yoru,0.0
china_stage_1,All Maps,84,0.52,0.48,neon,0.8
china_stage_1,All Maps,84,0.52,0.48,waylay,0.67
china_stage_1,All Maps,84,0.52,0.48,viper,0.56
china_stage_1,All Maps,84,0.52,0.48,omen,0.53
china_stage_1,All Maps,84,0.52,0.48,skye,0.44
china_stage_1,All Maps,84,0.52,0.48,brimstone,0.29
china_stage_1,All Maps,84,0.52,0.48,cypher,0.29
china_stage_1,All Maps,84,0.52,0.48,fade,0.26
china_stage_1,All Maps,84,0.52,0.48,sova,0.21
china_stage_1,All Maps,84,0.52,0.48,astra,0.18
china_stage_1,All Maps,84,0.52,0.48,killjoy,0.16
china_stage_1,All Maps,84,0.52,0.48,phoenix,0.1
china_stage_1,All Maps,84,0.52,0.48,tejo,0.1
china_stage_1,All Maps,84,0.52,0.48,raze,0.1
china_stage_1,All Maps,84,0.52,0.48,jett,0.07
china_stage_1,All Maps,84,0.52,0.48,chamber,0.05
china_stage_1,All Maps,84,0.52,0.48,kayo,0.05
china_stage_1,All Maps,84,0.52,0.48,breach,0.03
china_stage_1,All Maps,84,0.52,0.48,vyse,0.03
china_stage_1,All Maps,84,0.52,0.48,veto,0.02
china_stage_1,All Maps,84,0.52,0.48,harbor,0.02
china_stage_1,All Maps,84,0.52,0.48,sage,0.02
china_stage_1,All Maps,84,0.52,0.48,miks,0.01
china_stage_1,All Maps,84,0.52,0.48,gekko,0.01
china_stage_1,All Maps,84,0.52,0.48,reyna,0.0
china_stage_1,All Maps,84,0.52,0.48,iso,0.0
china_stage_1,All Maps,84,0.52,0.48,deadlock,0.0
china_stage_1,All Maps,84,0.52,0.48,clove,0.0
china_stage_1,All Maps,84,0.52,0.48,yoru,0.0
china_stage_1,Lotus,18,0.57,0.43,neon,0.56
china_stage_1,Lotus,18,0.57,0.43,waylay,0.61
china_stage_1,Lotus,18,0.57,0.43,viper,0.61
china_stage_1,Lotus,18,0.57,0.43,omen,1.0
china_stage_1,Lotus,18,0.57,0.43,skye,0.25
china_stage_1,Lotus,18,0.57,0.43,brimstone,0.0
china_stage_1,Lotus,18,0.57,0.43,cypher,0.36
china_stage_1,Lotus,18,0.57,0.43,fade,0.75
china_stage_1,Lotus,18,0.57,0.43,sova,0.0
china_stage_1,Lotus,18,0.57,0.43,astra,0.0
china_stage_1,Lotus,18,0.57,0.43,killjoy,0.25
china_stage_1,Lotus,18,0.57,0.43,phoenix,0.11
china_stage_1,Lotus,18,0.57,0.43,tejo,0.0
china_stage_1,Lotus,18,0.57,0.43,raze,0.33
china_stage_1,Lotus,18,0.57,0.43,jett,0.0
china_stage_1,Lotus,18,0.57,0.43,chamber,0.0
china_stage_1,Lotus,18,0.57,0.43,kayo,0.0
china_stage_1,Lotus,18,0.57,0.43,breach,0.0
china_stage_1,Lotus,18,0.57,0.43,vyse,0.06
china_stage_1,Lotus,18,0.57,0.43,veto,0.08
china_stage_1,Lotus,18,0.57,0.43,harbor,0.0
china_stage_1,Lotus,18,0.57,0.43,sage,0.0
china_stage_1,Lotus,18,0.57,0.43,miks,0.03
china_stage_1,Lotus,18,0.57,0.43,gekko,0.0
