map,maps_played,events_count,atk_win_rate,def_win_rate,agent,pick_rate
Pearl,35.0,4.0,0.49,0.51,jett,0.04
Pearl,35.0,4.0,0.49,0.51,veto,0.04
Pearl,35.0,4.0,0.49,0.51,omen,0.02
Pearl,35.0,4.0,0.49,0.51,raze,0.02
Pearl,35.0,4.0,0.49,0.51,breach,0.0
Pearl,35.0,4.0,0.49,0.51,brimstone,0.0
Pearl,35.0,4.0,0.49,0.51,clove,0.0
Pearl,35.0,4.0,0.49,0.51,deadlock,0.0
Pearl,35.0,4.0,0.49,0.51,gekko,0.0
Pearl,35.0,4.0,0.49,0.51,iso,0.0
Pearl,35.0,4.0,0.49,0.51,miks,0.0
Pearl,35.0,4.0,0.49,0.51,reyna,0.0
Pearl,35.0,4.0,0.49,0.51,sage,0.0
Pearl,35.0,4.0,0.49,0.51,viper,0.0
Pearl,35.0,4.0,0.49,0.51,yoru,0.0
Split,40.0,4.0,0.46,0.54,viper,0.86
Split,40.0,4.0,0.46,0.54,neon,0.81
Split,40.0,4.0,0.46,0.54,omen,0.71
Split,40.0,4.0,0.46,0.54,skye,0.54
Split,40.0,4.0,0.46,0.54,fade,0.46
Split,40.0,4.0,0.46,0.54,raze,0.46
Split,40.0,4.0,0.46,0.54,waylay,0.36
Split,40.0,4.0,0.46,0.54,astra,0.29
Split,40.0,4.0,0.46,0.54,vyse,0.2
Split,40.0,4.0,0.46,0.54,cypher,0.09
Split,40.0,4.0,0.46,0.54,jett,0.07
Split,40.0,4.0,0.46,0.54,deadlock,0.04
Split,40.0,4.0,0.46,0.54,harbor,0.03
Split,40.0,4.0,0.46,0.54,sage,0.03
Split,40.0,4.0,0.46,0.54,veto,0.02
Split,40.0,4.0,0.46,0.54,phoenix,0.01
Split,40.0,4.0,0.46,0.54,tejo,0.01
Split,40.0,4.0,0.46,0.54,breach,0.0
Split,40.0,4.0,0.46,0.54,brimstone,0.0
Split,40.0,4.0,0.46,0.54,chamber,0.0
Split,40.0,4.0,0.46,0.54,clove,0.0
Split,40.0,4.0,0.46,0.54,gekko,0.0
Split,40.0,4.0,0.46,0.54,iso,0.0
