map,agent,maps_played,events_count,pick_rate,atk_side_rate,def_side_rate,agent_picks,total_compositions,pick_rate_from_comps,side_delta,sample_confidence,observed,agent_presence_score
Fracture,breach,27.0,4.0,0.42592592592592593,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,45.56
Fracture,tejo,27.0,4.0,0.4077777777777778,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,44.47
Fracture,skye,27.0,4.0,0.3888888888888889,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,43.33
Fracture,raze,27.0,4.0,0.18555555555555556,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,31.13
Fracture,veto,27.0,4.0,0.16518518518518518,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,29.91
Fracture,fade,27.0,4.0,0.12962962962962962,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,27.78
Fracture,astra,27.0,4.0,0.09111111111111111,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,25.47
Fracture,kayo,27.0,4.0,0.037037037037037035,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,22.22
Fracture,vyse,27.0,4.0,0.037037037037037035,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,22.22
Fracture,killjoy,27.0,4.0,0.03666666666666667,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,22.2
Fracture,chamber,27.0,4.0,0.0362962962962963,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,22.18
Fracture,sage,27.0,4.0,0.035555555555555556,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,22.13
Fracture,deadlock,27.0,4.0,0.02,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,21.2
Fracture,omen,27.0,4.0,0.018518518518518517,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,21.11
Fracture,viper,27.0,4.0,0.018518518518518517,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,21.11
Fracture,phoenix,27.0,4.0,0.017777777777777778,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,21.07
Fracture,clove,27.0,4.0,0.0,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,20.0
Fracture,gekko,27.0,4.0,0.0,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,20.0
Fracture,harbor,27.0,4.0,0.0,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,20.0
Fracture,iso,27.0,4.0,0.0,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,20.0
Fracture,jett,27.0,4.0,0.0,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,20.0
Fracture,miks,27.0,4.0,0.0,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,20.0
Fracture,reyna,27.0,4.0,0.0,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,20.0
Fracture,sova,27.0,4.0,0.0,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,20.0
Fracture,yoru,27.0,4.0,0.0,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,20.0
Haven,omen,39.0,4.0,0.9356410256410257,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,76.14
Haven,neon,39.0,4.0,0.8974358974358975,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,73.85
Haven,sova,39.0,4.0,0.6653846153846154,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,59.92
Haven,cypher,39.0,4.0,0.5135897435897435,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,50.82
Haven,phoenix,39.0,4.0,0.3843589743589743,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,43.06
Haven,viper,39.0,4.0,0.26871794871794874,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,36.12
Haven,killjoy,39.0,4.0,0.2584615384615385,0.5225641025641027,0.4774358974358975,,,,0.0451,1.0,True,35.51
