event,map,match_id,team,opponent,agents,agents_count,observed
china_stage_1,BREEZE,china_stage_1_breeze_bilibili_gaming_tyloo,Bilibili Gaming,TYLOO,"chamber,neon,omen,skye,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_dragon_ranger_gaming_edward_gaming,Dragon Ranger Gaming,EDward Gaming,"astra,neon,omen,skye,waylay",5,True
china_stage_1,BREEZE,china_stage_1_breeze_dragon_ranger_gaming_nova_esports,Dragon Ranger Gaming,Nova Esports,"astra,neon,omen,skye,waylay",5,True
china_stage_1,BREEZE,china_stage_1_breeze_dragon_ranger_gaming_trace_esports,Dragon Ranger Gaming,Trace Esports,"astra,neon,skye,viper,waylay",5,True
china_stage_1,BREEZE,china_stage_1_breeze_dragon_ranger_gaming_tyloo,Dragon Ranger Gaming,TYLOO,"astra,neon,skye,viper,waylay",5,True
china_stage_1,BREEZE,china_stage_1_breeze_dragon_ranger_gaming_wolves_esports,Dragon Ranger Gaming,Wolves Esports,"astra,neon,omen,skye,waylay",5,True
china_stage_1,BREEZE,china_stage_1_breeze_dragon_ranger_gaming_edward_gaming,EDward Gaming,Dragon Ranger Gaming,"harbor,jett,kayo,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_edward_gaming_nova_esports,EDward Gaming,Nova Esports,"harbor,jett,kayo,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_dragon_ranger_gaming_nova_esports,Nova Esports,Dragon Ranger Gaming,"jett,neon,omen,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_edward_gaming_nova_esports,Nova Esports,EDward Gaming,"jett,neon,omen,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_all_gamers_tyloo,TYLOO,All Gamers,"astra,jett,kayo,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_bilibili_gaming_tyloo,TYLOO,Bilibili Gaming,"astra,jett,kayo,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_dragon_ranger_gaming_tyloo,TYLOO,Dragon Ranger Gaming,"astra,jett,kayo,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_all_gamers_titan_esports_club,Titan Esports Club,All Gamers,"astra,neon,sova,viper,waylay",5,True
china_stage_1,BREEZE,china_stage_1_breeze_bilibili_gaming_titan_esports_club,Titan Esports Club,Bilibili Gaming,"astra,neon,sova,viper,waylay",5,True
china_stage_1,BREEZE,china_stage_1_breeze_titan_esports_club_trace_esports,Titan Esports Club,Trace Esports,"harbor,neon,sova,viper,waylay",5,True
china_stage_1,BREEZE,china_stage_1_breeze_dragon_ranger_gaming_trace_esports,Trace Esports,Dragon Ranger Gaming,"jett,omen,phoenix,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_titan_esports_club_trace_esports,Trace Esports,Titan Esports Club,"jett,omen,phoenix,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_trace_esports_xi_lai_gaming,Trace Esports,Xi Lai Gaming,"jett,omen,phoenix,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_dragon_ranger_gaming_wolves_esports,Wolves Esports,Dragon Ranger Gaming,"astra,jett,kayo,sova,viper",5,True
china_stage_1,BREEZE,china_stage_1_breeze_trace_esports_xi_lai_gaming,Xi Lai Gaming,Trace Esports,"chamber,neon,sage,sova,viper",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_bilibili_gaming_funplus_phoenix,Bilibili Gaming,FunPlus Phoenix,"brimstone,cypher,neon,tejo,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_bilibili_gaming_jdg_esports,Bilibili Gaming,JDG Esports,"brimstone,cypher,neon,tejo,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_bilibili_gaming_titan_esports_club,Bilibili Gaming,Titan Esports Club,"brimstone,cypher,neon,tejo,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_edward_gaming_jdg_esports,EDward Gaming,JDG Esports,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_edward_gaming_nova_esports,EDward Gaming,Nova Esports,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_edward_gaming_wolves_esports,EDward Gaming,Wolves Esports,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_bilibili_gaming_funplus_phoenix,FunPlus Phoenix,Bilibili Gaming,"astra,neon,sage,tejo,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_funplus_phoenix_titan_esports_club,FunPlus Phoenix,Titan Esports Club,"astra,neon,sage,tejo,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_bilibili_gaming_jdg_esports,JDG Esports,Bilibili Gaming,"breach,brimstone,cypher,neon,tejo",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_edward_gaming_jdg_esports,JDG Esports,EDward Gaming,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_jdg_esports_titan_esports_club,JDG Esports,Titan Esports Club,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_edward_gaming_nova_esports,Nova Esports,EDward Gaming,"breach,brimstone,chamber,neon,tejo",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_nova_esports_wolves_esports,Nova Esports,Wolves Esports,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_tyloo_titan_esports_club,TYLOO,Titan Esports Club,"brimstone,cypher,neon,phoenix,tejo",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_bilibili_gaming_titan_esports_club,Titan Esports Club,Bilibili Gaming,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_funplus_phoenix_titan_esports_club,Titan Esports Club,FunPlus Phoenix,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_jdg_esports_titan_esports_club,Titan Esports Club,JDG Esports,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_titan_esports_club_trace_esports,Titan Esports Club,Trace Esports,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_tyloo_titan_esports_club,Titan Esports Club,TYLOO,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_titan_esports_club_trace_esports,Trace Esports,Titan Esports Club,"breach,brimstone,cypher,neon,tejo",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_edward_gaming_wolves_esports,Wolves Esports,EDward Gaming,"brimstone,cypher,neon,skye,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_nova_esports_wolves_esports,Wolves Esports,Nova Esports,"breach,brimstone,cypher,tejo,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_wolves_esports_xi_lai_gaming,Wolves Esports,Xi Lai Gaming,"breach,brimstone,cypher,tejo,waylay",5,True
china_stage_1,FRACTURE,china_stage_1_fracture_wolves_esports_xi_lai_gaming,Xi Lai Gaming,Wolves Esports,"brimstone,neon,skye,tejo,veto",5,True
china_stage_1,HAVEN,china_stage_1_haven_all_gamers_jdg_esports,All Gamers,JDG Esports,"cypher,neon,omen,skye,waylay",5,True
china_stage_1,HAVEN,china_stage_1_haven_all_gamers_tyloo,All Gamers,TYLOO,"cypher,neon,omen,skye,waylay",5,True
china_stage_1,HAVEN,china_stage_1_haven_bilibili_gaming_jdg_esports,Bilibili Gaming,JDG Esports,"cypher,neon,omen,sova,waylay",5,True
china_stage_1,HAVEN,china_stage_1_haven_dragon_ranger_gaming_nova_esports,Dragon Ranger Gaming,Nova Esports,"cypher,neon,omen,skye,waylay",5,True
china_stage_1,HAVEN,china_stage_1_haven_dragon_ranger_gaming_tyloo,Dragon Ranger Gaming,TYLOO,"cypher,neon,omen,skye,waylay",5,True
china_stage_1,HAVEN,china_stage_1_haven_edward_gaming_jdg_esports,EDward Gaming,JDG Esports,"chamber,fade,neon,omen,phoenix",5,True
china_stage_1,HAVEN,china_stage_1_haven_edward_gaming_trace_esports,EDward Gaming,Trace Esports,"cypher,neon,omen,sova,waylay",5,True
china_stage_1,HAVEN,china_stage_1_haven_edward_gaming_xi_lai_gaming,EDward Gaming,Xi Lai Gaming,"chamber,fade,neon,omen,phoenix",5,True
