event,map,team,opponent,agent
americas_stage_1,HAVEN,Cloud9,LEVIATÁN,neon
americas_stage_1,HAVEN,Cloud9,LEVIATÁN,viper
americas_stage_1,HAVEN,Cloud9,LEVIATÁN,omen
americas_stage_1,HAVEN,Cloud9,LEVIATÁN,sova
americas_stage_1,HAVEN,Cloud9,LEVIATÁN,killjoy
americas_stage_1,HAVEN,Cloud9,ENVY,neon
americas_stage_1,HAVEN,Cloud9,ENVY,viper
americas_stage_1,HAVEN,Cloud9,ENVY,omen
americas_stage_1,HAVEN,Cloud9,ENVY,sova
americas_stage_1,HAVEN,Cloud9,ENVY,killjoy
americas_stage_1,HAVEN,Sentinels,100 Thieves,neon
americas_stage_1,HAVEN,Sentinels,100 Thieves,viper
americas_stage_1,HAVEN,Sentinels,100 Thieves,omen
americas_stage_1,HAVEN,Sentinels,100 Thieves,sova
americas_stage_1,HAVEN,Sentinels,100 Thieves,killjoy
americas_stage_1,HAVEN,MIBR,LOUD,omen
americas_stage_1,HAVEN,MIBR,LOUD,fade
americas_stage_1,HAVEN,MIBR,LOUD,vyse
americas_stage_1,HAVEN,MIBR,LOUD,phoenix
americas_stage_1,HAVEN,MIBR,LOUD,jett
americas_stage_1,PEARL,ENVY,LOUD,sova
americas_stage_1,PEARL,ENVY,LOUD,astra
americas_stage_1,PEARL,ENVY,LOUD,tejo
americas_stage_1,PEARL,ENVY,LOUD,veto
americas_stage_1,PEARL,ENVY,LOUD,waylay
americas_stage_1,PEARL,ENVY,Cloud9,neon
americas_stage_1,PEARL,ENVY,Cloud9,sova
americas_stage_1,PEARL,ENVY,Cloud9,astra
americas_stage_1,PEARL,ENVY,Cloud9,phoenix
americas_stage_1,PEARL,ENVY,Cloud9,chamber
americas_stage_1,PEARL,G2 Esports,LOUD,neon
americas_stage_1,PEARL,G2 Esports,LOUD,sova
americas_stage_1,PEARL,G2 Esports,LOUD,vyse
americas_stage_1,PEARL,G2 Esports,LOUD,astra
americas_stage_1,PEARL,G2 Esports,LOUD,harbor
americas_stage_1,PEARL,LOUD,ENVY,neon
americas_stage_1,PEARL,LOUD,ENVY,sova
americas_stage_1,PEARL,LOUD,ENVY,astra
americas_stage_1,PEARL,LOUD,ENVY,chamber
americas_stage_1,PEARL,LOUD,ENVY,kayo
americas_stage_1,PEARL,LOUD,G2 Esports,neon
americas_stage_1,PEARL,LOUD,G2 Esports,sova
americas_stage_1,PEARL,LOUD,G2 Esports,astra
americas_stage_1,PEARL,LOUD,G2 Esports,chamber
americas_stage_1,PEARL,LOUD,G2 Esports,kayo
americas_stage_1,PEARL,LEVIATÁN,Cloud9,neon
americas_stage_1,PEARL,LEVIATÁN,Cloud9,sova
americas_stage_1,PEARL,LEVIATÁN,Cloud9,astra
americas_stage_1,PEARL,LEVIATÁN,Cloud9,phoenix
americas_stage_1,PEARL,LEVIATÁN,Cloud9,chamber
americas_stage_1,PEARL,FURIA,NRG,neon
americas_stage_1,PEARL,FURIA,NRG,fade
americas_stage_1,PEARL,FURIA,NRG,astra
americas_stage_1,PEARL,FURIA,NRG,phoenix
americas_stage_1,PEARL,FURIA,NRG,killjoy
americas_stage_1,PEARL,FURIA,Evil Geniuses,neon
americas_stage_1,PEARL,FURIA,Evil Geniuses,fade
americas_stage_1,PEARL,FURIA,Evil Geniuses,astra
americas_stage_1,PEARL,FURIA,Evil Geniuses,phoenix
americas_stage_1,PEARL,FURIA,Evil Geniuses,killjoy
americas_stage_1,PEARL,100 Thieves,NRG,neon
americas_stage_1,PEARL,100 Thieves,NRG,fade
americas_stage_1,PEARL,100 Thieves,NRG,astra
americas_stage_1,PEARL,100 Thieves,NRG,phoenix
americas_stage_1,PEARL,100 Thieves,NRG,chamber
americas_stage_1,PEARL,Evil Geniuses,FURIA,neon
americas_stage_1,PEARL,Evil Geniuses,FURIA,sova
