team,map,compositions,map_volume_share,unique_comps,comp_diversity,map_identity_score,identity_label,sample_reliability_score
Paper Rex,PEARL,1,0.1,1,1.0,0.048,secondary_map,0.25
Rex Regum Qeon,BIND,2,0.2,1,0.5,0.192,secondary_map,0.4
Rex Regum Qeon,FRACTURE,2,0.2,1,0.5,0.192,secondary_map,0.4
Rex Regum Qeon,HAVEN,2,0.2,2,1.0,0.192,secondary_map,0.4
Rex Regum Qeon,PEARL,2,0.2,1,0.5,0.192,secondary_map,0.5
Rex Regum Qeon,SPLIT,2,0.2,1,0.5,0.192,secondary_map,0.5
Sentinels,BREEZE,1,0.25,1,1.0,0.12,secondary_map,0.2
Sentinels,HAVEN,1,0.25,1,1.0,0.12,secondary_map,0.2
Sentinels,LOTUS,1,0.25,1,1.0,0.12,secondary_map,0.2
Sentinels,SPLIT,1,0.25,1,1.0,0.12,secondary_map,0.25
T1,PEARL,3,0.5,1,0.3333,0.7199,strong_map_identity,0.75
T1,BIND,1,0.1667,1,1.0,0.08,secondary_map,0.2
T1,HAVEN,1,0.1667,1,1.0,0.08,secondary_map,0.2
T1,LOTUS,1,0.1667,1,1.0,0.08,secondary_map,0.2
TYLOO,BIND,4,0.2667,1,0.25,0.512,strong_map_identity,0.8
TYLOO,BREEZE,3,0.2,1,0.3333,0.288,secondary_map,0.6
TYLOO,HAVEN,3,0.2,3,1.0,0.288,secondary_map,0.6
TYLOO,PEARL,2,0.1333,2,1.0,0.128,secondary_map,0.5
TYLOO,SPLIT,2,0.1333,1,0.5,0.128,secondary_map,0.5
TYLOO,FRACTURE,1,0.0667,1,1.0,0.032,secondary_map,0.2
Team Heretics,LOTUS,3,0.3,2,0.6667,0.432,secondary_map,0.6
Team Heretics,BIND,2,0.2,1,0.5,0.192,secondary_map,0.4
Team Heretics,FRACTURE,2,0.2,1,0.5,0.192,secondary_map,0.4
Team Heretics,PEARL,2,0.2,1,0.5,0.192,secondary_map,0.5
Team Heretics,HAVEN,1,0.1,1,1.0,0.048,secondary_map,0.2
Team Liquid,BIND,2,0.2222,1,0.5,0.2133,secondary_map,0.4
Team Liquid,HAVEN,2,0.2222,1,0.5,0.2133,secondary_map,0.4
Team Liquid,PEARL,2,0.2222,1,0.5,0.2133,secondary_map,0.5
Team Liquid,BREEZE,1,0.1111,1,1.0,0.0533,secondary_map,0.2
Team Liquid,LOTUS,1,0.1111,1,1.0,0.0533,secondary_map,0.2
Team Liquid,SPLIT,1,0.1111,1,1.0,0.0533,secondary_map,0.25
Team Secret,SPLIT,2,0.3333,2,1.0,0.3199,secondary_map,0.5
Team Secret,BREEZE,1,0.1667,1,1.0,0.08,secondary_map,0.2
Team Secret,FRACTURE,1,0.1667,1,1.0,0.08,secondary_map,0.2
Team Secret,LOTUS,1,0.1667,1,1.0,0.08,secondary_map,0.2
Team Secret,PEARL,1,0.1667,1,1.0,0.08,secondary_map,0.25
Team Vitality,BREEZE,2,0.2222,1,0.5,0.2133,secondary_map,0.4
Team Vitality,HAVEN,2,0.2222,1,0.5,0.2133,secondary_map,0.4
Team Vitality,LOTUS,2,0.2222,2,1.0,0.2133,secondary_map,0.4
Team Vitality,BIND,1,0.1111,1,1.0,0.0533,secondary_map,0.2
Team Vitality,PEARL,1,0.1111,1,1.0,0.0533,secondary_map,0.25
Team Vitality,SPLIT,1,0.1111,1,1.0,0.0533,secondary_map,0.25
Titan Esports Club,FRACTURE,5,0.3571,1,0.2,0.857,signature_map,1.0
Titan Esports Club,BREEZE,3,0.2143,2,0.6667,0.3086,secondary_map,0.6
Titan Esports Club,SPLIT,3,0.2143,1,0.3333,0.3086,secondary_map,0.75
Titan Esports Club,BIND,1,0.0714,1,1.0,0.0343,secondary_map,0.2
Titan Esports Club,HAVEN,1,0.0714,1,1.0,0.0343,secondary_map,0.2
Titan Esports Club,LOTUS,1,0.0714,1,1.0,0.0343,secondary_map,0.2
Trace Esports,LOTUS,5,0.3333,3,0.6,0.7999,signature_map,1.0
Trace Esports,BIND,3,0.2,1,0.3333,0.288,secondary_map,0.6
Trace Esports,BREEZE,3,0.2,1,0.3333,0.288,secondary_map,0.6
Trace Esports,SPLIT,2,0.1333,1,0.5,0.128,secondary_map,0.5
Trace Esports,FRACTURE,1,0.0667,1,1.0,0.032,secondary_map,0.2
Trace Esports,HAVEN,1,0.0667,1,1.0,0.032,secondary_map,0.2
VARREL,HAVEN,3,0.3333,3,1.0,0.4799,strong_map_identity,0.6
VARREL,LOTUS,2,0.2222,1,0.5,0.2133,secondary_map,0.4
VARREL,BIND,1,0.1111,1,1.0,0.0533,secondary_map,0.2
VARREL,FRACTURE,1,0.1111,1,1.0,0.0533,secondary_map,0.2
VARREL,PEARL,1,0.1111,1,1.0,0.0533,secondary_map,0.25
VARREL,SPLIT,1,0.1111,1,1.0,0.0533,secondary_map,0.25
Wolves Esports,LOTUS,5,0.4167,2,0.4,1.0,signature_map,1.0
Wolves Esports,FRACTURE,3,0.25,2,0.6667,0.36,secondary_map,0.6
Wolves Esports,BIND,2,0.1667,2,1.0,0.16,secondary_map,0.4
Wolves Esports,BREEZE,1,0.0833,1,1.0,0.04,secondary_map,0.2
Wolves Esports,PEARL,1,0.0833,1,1.0,0.04,secondary_map,0.25
Xi Lai Gaming,BIND,5,0.3125,1,0.2,0.7499,strong_map_identity,1.0
Xi Lai Gaming,LOTUS,5,0.3125,1,0.2,0.7499,strong_map_identity,1.0
Xi Lai Gaming,HAVEN,2,0.125,1,0.5,0.12,secondary_map,0.4
Xi Lai Gaming,SPLIT,2,0.125,1,0.5,0.12,secondary_map,0.5
Xi Lai Gaming,BREEZE,1,0.0625,1,1.0,0.03,secondary_map,0.2
Xi Lai Gaming,FRACTURE,1,0.0625,1,1.0,0.03,secondary_map,0.2
ZETA DIVISION,FRACTURE,2,0.25,1,0.5,0.24,secondary_map,0.4
ZETA DIVISION,SPLIT,2,0.25,1,0.5,0.24,secondary_map,0.5
ZETA DIVISION,BIND,1,0.125,1,1.0,0.06,secondary_map,0.2
ZETA DIVISION,HAVEN,1,0.125,1,1.0,0.06,secondary_map,0.2
ZETA DIVISION,LOTUS,1,0.125,1,1.0,0.06,secondary_map,0.2
ZETA DIVISION,PEARL,1,0.125,1,1.0,0.06,secondary_map,0.25
