map,agent,maps_played,pick_rate,pick_rate_from_comps,sample_reliability_score,global_pick_rate,local_pick_delta,cross_map_stability_score,map_dependence_score,meta_presence_score,agent_meta_label,tier_score,tier
Fracture,waylay,27.0,0.5366666666666666,,0.7746,0.3605603448275862,0.1761,0.6447,0.2355,0.4598,stable_pick,0.4598,stable_pick
Fracture,breach,27.0,0.4259259259259259,,0.7746,0.0576867816091954,0.3682,0.6438,0.4924,0.4153,stable_pick,0.4153,stable_pick
Fracture,tejo,27.0,0.4077777777777778,,0.7746,0.095301724137931,0.3125,0.6285,0.4179,0.405,stable_pick,0.405,stable_pick
Fracture,veto,27.0,0.1651851851851851,,0.7746,0.0478304597701149,0.1174,0.8683,0.157,0.3559,situational_pick,0.3559,situational_pick
Fracture,skye,27.0,0.3888888888888889,,0.7746,0.3345689655172413,0.0543,0.3435,0.0726,0.3404,situational_pick,0.3404,situational_pick
Fracture,sage,27.0,0.0355555555555555,,0.7746,0.0137643678160919,0.0218,0.9667,0.0292,0.3238,situational_pick,0.3238,situational_pick
Fracture,clove,27.0,0.0,,0.7746,0.0,0.0,1.0,0.0,0.3162,situational_pick,0.3162,situational_pick
Fracture,reyna,27.0,0.0,,0.7746,0.0,0.0,1.0,0.0,0.3162,situational_pick,0.3162,situational_pick
Fracture,deadlock,27.0,0.02,,0.7746,0.0242097701149425,-0.0042,0.9554,-0.0056,0.3153,situational_pick,0.3153,situational_pick
Fracture,yoru,27.0,0.0,,0.7746,0.0022126436781609,-0.0022,0.9858,-0.0029,0.3134,situational_pick,0.3134,situational_pick
Fracture,miks,27.0,0.0,,0.7746,0.0039942528735632,-0.004,0.9826,-0.0053,0.3127,situational_pick,0.3127,situational_pick
Fracture,raze,27.0,0.1855555555555555,,0.7746,0.1724425287356322,0.0131,0.6003,0.0175,0.3105,situational_pick,0.3105,situational_pick
Fracture,iso,27.0,0.0,,0.7746,0.0091666666666666,-0.0092,0.9483,-0.0123,0.3058,situational_pick,0.3058,situational_pick
Fracture,gekko,27.0,0.0,,0.7746,0.0085632183908045,-0.0086,0.9428,-0.0115,0.3047,situational_pick,0.3047,situational_pick
Fracture,vyse,27.0,0.037037037037037,,0.7746,0.123721264367816,-0.0867,0.7524,-0.116,0.2815,situational_pick,0.2815,situational_pick
Fracture,chamber,27.0,0.0362962962962963,,0.7746,0.1258908045977011,-0.0896,0.7275,-0.1198,0.2762,situational_pick,0.2762,situational_pick
