team,map,agents,times_used,teams_using_same_comp,maps_seen,composition_frequency,composition_uniqueness_score,composition_stability_label,sample_reliability_score
FUT Esports,HAVEN,"cypher,jett,neon,omen,sova",1,3,1,0.3333,0.8462,map_specific_comp,0.4472
FUT Esports,HAVEN,"cypher,neon,omen,phoenix,sova",1,8,1,0.3333,0.4615,standard_meta_comp,0.4472
FUT Esports,HAVEN,"killjoy,neon,omen,sova,waylay",1,1,1,0.3333,1.0,map_specific_comp,0.4472
FUT Esports,LOTUS,"chamber,fade,neon,omen,viper",1,3,2,1.0,0.8462,standard_meta_comp,0.4472
FUT Esports,PEARL,"astra,fade,killjoy,neon,waylay",1,3,1,1.0,0.8462,map_specific_comp,0.4472
FUT Esports,SPLIT,"neon,omen,raze,skye,viper",1,1,1,1.0,1.0,team_signature_comp,0.4472
FunPlus Phoenix,BIND,"brimstone,neon,skye,viper,waylay",1,14,1,1.0,0.0,standard_meta_comp,0.4472
FunPlus Phoenix,FRACTURE,"astra,neon,sage,tejo,waylay",2,1,1,1.0,1.0,team_signature_comp,0.6325
FunPlus Phoenix,LOTUS,"fade,neon,omen,viper,waylay",2,4,2,1.0,0.7692,standard_meta_comp,0.6325
FunPlus Phoenix,PEARL,"astra,fade,killjoy,neon,waylay",4,3,1,1.0,0.8462,map_specific_comp,0.8944
FunPlus Phoenix,SPLIT,"fade,neon,omen,viper,waylay",3,4,2,0.75,0.7692,standard_meta_comp,0.7746
FunPlus Phoenix,SPLIT,"neon,omen,skye,viper,waylay",1,10,2,0.25,0.3077,standard_meta_comp,0.4472
G2 Esports,BIND,"brimstone,fade,raze,viper,vyse",1,1,1,1.0,1.0,team_signature_comp,0.4472
G2 Esports,BREEZE,"astra,harbor,neon,sova,vyse",1,1,2,1.0,1.0,team_signature_comp,0.4472
G2 Esports,HAVEN,"astra,chamber,fade,neon,phoenix",1,7,2,1.0,0.5385,standard_meta_comp,0.4472
G2 Esports,LOTUS,"fade,harbor,neon,omen,vyse",1,1,1,1.0,1.0,team_signature_comp,0.4472
G2 Esports,PEARL,"astra,harbor,neon,sova,vyse",1,1,2,1.0,1.0,team_signature_comp,0.4472
G2 Esports,SPLIT,"astra,fade,harbor,neon,vyse",1,1,1,0.5,1.0,team_signature_comp,0.4472
G2 Esports,SPLIT,"astra,fade,harbor,raze,vyse",1,1,1,0.5,1.0,team_signature_comp,0.4472
GIANTX,BIND,"brimstone,neon,skye,tejo,viper",1,1,1,1.0,1.0,team_signature_comp,0.4472
GIANTX,BREEZE,"neon,omen,skye,sova,viper",1,1,1,1.0,1.0,team_signature_comp,0.4472
GIANTX,HAVEN,"cypher,neon,omen,phoenix,sova",4,8,1,1.0,0.4615,standard_meta_comp,0.8944
GIANTX,LOTUS,"chamber,fade,neon,omen,viper",1,3,2,1.0,0.8462,standard_meta_comp,0.4472
GIANTX,PEARL,"astra,cypher,fade,tejo,waylay",2,1,1,1.0,1.0,team_signature_comp,0.6325
GIANTX,SPLIT,"astra,neon,skye,viper,waylay",2,3,3,1.0,0.8462,standard_meta_comp,0.6325
Gen.G,BIND,"brimstone,fade,neon,viper,yoru",1,1,1,1.0,1.0,team_signature_comp,0.4472
Gen.G,BREEZE,"harbor,jett,kayo,sova,viper",1,4,1,1.0,0.7692,standard_meta_comp,0.4472
Gen.G,FRACTURE,"breach,brimstone,cypher,neon,waylay",1,1,1,1.0,1.0,team_signature_comp,0.4472
Gen.G,HAVEN,"chamber,fade,neon,omen,phoenix",2,2,1,1.0,0.9231,team_signature_comp,0.6325
Gen.G,LOTUS,"fade,neon,omen,raze,vyse",2,7,1,1.0,0.5385,standard_meta_comp,0.6325
Gen.G,PEARL,"astra,chamber,fade,neon,phoenix",1,7,2,0.5,0.5385,standard_meta_comp,0.4472
Gen.G,PEARL,"astra,fade,killjoy,neon,phoenix",1,5,1,0.5,0.6923,standard_meta_comp,0.4472
Gen.G,SPLIT,"cypher,fade,neon,omen,viper",1,2,2,1.0,0.9231,team_signature_comp,0.4472
Gentle Mates,BIND,"brimstone,neon,skye,viper,waylay",1,14,1,1.0,0.0,standard_meta_comp,0.4472
Gentle Mates,FRACTURE,"breach,brimstone,fade,neon,veto",2,1,1,1.0,1.0,team_signature_comp,0.6325
Gentle Mates,HAVEN,"cypher,neon,omen,phoenix,sova",1,8,1,0.5,0.4615,standard_meta_comp,0.4472
